pod_name	cluster_name	name	cpus	speed	ram	memory_used_capacity	cpu_used_capacity
POD0	C0	SimulatedAgent.8243639e-e7c9-4c2f-9f9a-4efa6db0aea6	4	8000	8589934592	0	0
POD0	C0	SimulatedAgent.e5fa9a1d-1b33-4418-8bb6-8ebe17b509b2	4	8000	8589934592	0	0
POD0	C0	SimulatedAgent.aaa7d11b-f187-4a8c-bc13-4554eaafbba1	4	8000	8589934592	0	0
POD0	C0	SimulatedAgent.9f489b3c-2928-4dfe-8d46-189504bbc658	4	8000	8589934592	0	0
POD0	C0	SimulatedAgent.aaa72dba-a5e7-434b-8e5d-0d11264f5330	4	8000	8589934592	0	0
POD0	C0	SimulatedAgent.7b4b8f76-362c-4323-a10c-6b623254af88	4	8000	8589934592	0	0
POD0	C0	SimulatedAgent.5faa3bfc-fbe3-4617-8fa0-0d16af098f90	4	8000	8589934592	0	0
POD0	C0	SimulatedAgent.bb9002c6-ff46-4761-934b-f3b6b0af09c0	4	8000	8589934592	0	0
POD0	C1	SimulatedAgent.e6348311-43e6-4fda-80ba-ec70f49b4b44	4	8000	8589934592	0	0
POD0	C1	SimulatedAgent.d8f66be2-b29d-4471-bca5-d23b0b954bb4	4	8000	8589934592	1073741824	500
POD0	C1	SimulatedAgent.73328045-3731-424e-9b19-302221d4081e	4	8000	8589934592	0	0
POD0	C1	SimulatedAgent.badb9959-fab7-4a9c-ad4d-67bc279e2a4a	4	8000	8589934592	0	0
POD0	C1	SimulatedAgent.fa98d413-969b-4707-986c-94199ce37361	4	8000	8589934592	268435456	500
POD0	C1	SimulatedAgent.3e64e8ce-ee81-4576-be87-0cdbbf51bed5	4	8000	8589934592	0	0
POD0	C1	SimulatedAgent.6fe6cb95-5208-497e-8ba4-16d1c514f1aa	4	8000	8589934592	0	0
POD0	C1	SimulatedAgent.d54a4d81-a8cf-4107-a33e-73efd1651329	4	8000	8589934592	0	0
POD0	C2	SimulatedAgent.fd96bb7e-761b-425e-9b21-2579e14d8b23	4	8000	8589934592	0	0
